"Estado","Menor.a.1","Entre.1.y.4","Entre.5.y.9","Entre.10.y.14","Entre.15.y.19","Entre.20.y.24","Entre.25.y.44","Entre.45.y.49","Entre.50.y.59","Entre.60.y.64","Mayor.a.65","Ign","Total","Ano","Tipo"
"Guanajuato ",80,1199,1556,1856,1851,1306,3254,531,696,265,633,0,13227,"2010","Hombres"
"Guerrero ",182,2179,2847,3352,3000,2067,5149,1005,1498,615,1505,28,23427,"2010","Hombres"
"Hidalgo ",1,3,6,8,6,7,19,5,6,1,6,0,68,"2010","Hombres"
"Jalisco ",169,2165,2662,3150,3190,2838,7047,1169,1706,733,1706,46,26581,"2010","Hombres"
"Mexico",30,505,580,602,555,330,745,152,194,74,191,6,3964,"2010","Hombres"
"Michoacan",231,1566,1763,2022,1923,1582,3777,671,946,398,935,20,15834,"2010","Hombres"
"Morelos ",69,1270,1686,1830,1855,1410,3587,839,1224,404,1003,43,15220,"2010","Hombres"
"Nayarit ",43,518,603,799,941,814,2058,443,512,250,500,2,7483,"2010","Hombres"
"Nuevo Leon",1,7,5,8,5,10,30,3,8,0,1,0,78,"2010","Hombres"
"Oaxaca ",24,207,254,297,300,219,489,113,162,67,238,1,2371,"2010","Hombres"
"Puebla ",32,606,797,904,963,685,1577,368,576,247,645,32,7432,"2010","Hombres"
"Queretaro",16,130,173,252,238,228,762,106,138,39,112,0,2194,"2010","Hombres"
"Quintana Roo ",1,8,6,7,7,9,25,5,2,1,2,0,73,"2010","Hombres"
"San Luis Potosi",1,11,6,4,9,12,13,7,10,2,9,0,84,"2010","Hombres"
"Sinaloa ",21,315,365,469,447,376,989,225,331,161,289,1,3989,"2010","Hombres"
"Sonora ",23,245,247,191,169,151,370,84,111,44,78,1,1714,"2010","Hombres"
"Tabasco ",0,0,1,3,0,3,5,2,1,1,0,0,16,"2010","Hombres"
"Tamaulipas ",3,14,13,8,8,9,32,5,7,0,4,0,103,"2010","Hombres"
"Tlaxcala ",0,1,3,5,8,1,6,1,1,1,1,0,28,"2010","Hombres"
"Veracruz ",1,8,9,7,15,10,32,4,6,5,10,0,107,"2010","Hombres"
"Yucatan",0,4,7,1,2,1,5,5,2,1,1,0,29,"2010","Hombres"
"Zacatecas ",6,137,164,198,236,181,444,80,124,61,170,5,1806,"2010","Hombres"
"Total",975,11785,14663,17122,17078,13583,33701,6398,9101,3711,8697,199,137013,"2010","Hombres"
"Aguascalientes ",3,72,89,150,143,90,254,42,55,16,69,0,983,"2011","Hombres"
"Baja California ",0,5,12,7,7,5,19,6,1,0,0,0,62,"2011","Hombres"
"Baja California Sur",1,3,5,2,0,3,14,3,4,1,1,0,37,"2011","Hombres"
"Campeche ",0,3,2,3,6,2,14,2,2,0,1,0,35,"2011","Hombres"
"Coahuila ",1,11,10,7,8,11,31,7,5,1,2,0,94,"2011","Hombres"
"Colima ",31,345,475,609,774,718,2124,328,517,205,381,9,6516,"2011","Hombres"
"Chiapas ",3,18,12,9,17,10,42,10,11,7,16,0,155,"2011","Hombres"
"Chihuahua ",3,31,20,23,13,16,52,6,4,9,8,0,185,"2011","Hombres"
"Distrito Federal ",3,14,26,28,18,29,66,10,12,4,12,0,222,"2011","Hombres"
"Durango ",19,241,344,401,472,449,993,189,225,114,189,0,3636,"2011","Hombres"
"Guanajuato ",74,1422,1644,1959,1822,1401,3409,543,771,331,627,2,14005,"2011","Hombres"
"Guerrero ",167,2189,2983,3490,3361,2336,5592,1075,1673,691,1640,21,25218,"2011","Hombres"
"Hidalgo ",2,5,7,14,9,10,15,1,11,0,6,0,80,"2011","Hombres"
"Jalisco ",189,2237,2731,3073,3080,2709,7217,1147,1710,681,1605,47,26426,"2011","Hombres"
"Mexico",48,547,675,710,589,416,1013,167,243,113,227,4,4752,"2011","Hombres"
"Michoacan",144,1448,1817,1944,2069,1609,3940,740,934,408,863,5,15921,"2011","Hombres"
"Morelos ",68,1442,1961,2116,2289,1694,4476,960,1494,500,1161,61,18222,"2011","Hombres"
"Nayarit ",136,529,611,712,874,786,2077,367,538,244,485,3,7362,"2011","Hombres"
"Nuevo Leon",0,13,11,9,11,13,37,1,5,1,3,0,104,"2011","Hombres"
"Oaxaca ",14,206,245,289,269,217,522,102,202,82,221,3,2372,"2011","Hombres"
"Puebla ",21,581,766,890,912,665,1532,336,564,281,648,4,7200,"2011","Hombres"
"Queretaro",14,200,239,285,305,266,781,105,180,71,105,0,2551,"2011","Hombres"
"Quintana Roo ",2,8,6,5,7,9,48,7,5,1,3,0,101,"2011","Hombres"
"San Luis Potosi",0,11,11,12,13,12,33,9,11,1,6,0,119,"2011","Hombres"
"Sinaloa ",29,365,430,481,469,390,991,238,326,188,329,2,4238,"2011","Hombres"
"Sonora ",35,306,336,269,186,194,456,88,144,60,96,2,2172,"2011","Hombres"
"Tabasco ",0,4,3,5,0,4,10,0,2,0,1,0,29,"2011","Hombres"
"Tamaulipas ",2,11,14,16,10,10,38,10,6,4,9,2,132,"2011","Hombres"
"Tlaxcala ",0,1,4,3,4,3,9,0,0,0,1,0,25,"2011","Hombres"
"Veracruz ",1,8,5,8,5,8,39,3,10,5,13,0,105,"2011","Hombres"
"Yucatan",0,0,0,3,1,3,13,1,2,1,4,0,28,"2011","Hombres"
"Zacatecas ",9,143,186,204,206,206,441,88,129,52,153,2,1819,"2011","Hombres"
"Total",1019,12419,15680,17736,17949,14294,36298,6591,9796,4072,8885,167,144906,"2011","Hombres"
"Aguascalientes ",7,73,101,141,160,120,286,37,78,32,68,0,1103,"2012","Hombres"
"Baja California ",0,3,6,10,7,5,22,4,3,2,0,0,62,"2012","Hombres"
"Baja California Sur",1,6,9,4,4,2,20,2,3,1,2,0,54,"2012","Hombres"
"Campeche ",0,3,1,0,3,4,9,1,2,2,5,0,30,"2012","Hombres"
"Coahuila ",0,8,17,13,8,14,34,4,3,1,0,0,102,"2012","Hombres"
"Colima ",17,313,422,561,788,773,2264,390,601,216,442,15,6802,"2012","Hombres"
"Chiapas ",2,10,5,13,16,17,49,7,7,3,15,0,144,"2012","Hombres"
"Chihuahua ",6,38,24,20,19,22,52,10,9,2,7,0,209,"2012","Hombres"
"Distrito Federal ",1,13,21,22,24,23,64,9,17,10,3,1,208,"2012","Hombres"
"Durango ",19,284,347,406,512,453,1055,214,250,95,201,0,3836,"2012","Hombres"
"Guanajuato ",103,1579,1987,2461,1760,1461,3888,708,899,327,801,6,15980,"2012","Hombres"
"Guerrero ",186,2616,3288,3846,3756,2743,6758,1209,1920,725,1855,18,28920,"2012","Hombres"
"Hidalgo ",2,9,4,15,7,10,23,11,6,7,7,0,101,"2012","Hombres"
"Jalisco ",188,2202,2626,3185,3056,2863,7408,1217,1923,763,1632,36,27099,"2012","Hombres"
"Mexico",35,667,711,746,615,484,1022,170,267,116,260,2,5095,"2012","Hombres"
"Michoacan",153,1567,1802,1944,2054,1850,4099,827,1085,484,901,6,16772,"2012","Hombres"
"Morelos ",52,1250,1731,1955,1988,1653,3945,781,1215,462,981,29,16042,"2012","Hombres"
"Nayarit ",47,594,741,785,911,941,2510,465,696,275,660,3,8628,"2012","Hombres"
"Nuevo Leon",1,8,9,11,11,18,37,2,2,0,1,0,100,"2012","Hombres"
"Oaxaca ",9,184,251,270,265,213,486,113,182,83,257,5,2318,"2012","Hombres"
"Puebla ",31,551,739,928,948,695,1553,360,568,250,645,6,7274,"2012","Hombres"
"Queretaro",7,152,191,232,265,303,936,179,210,58,138,0,2671,"2012","Hombres"
"Quintana Roo ",1,2,4,3,5,7,16,3,1,1,2,0,45,"2012","Hombres"
"San Luis Potosi",0,12,15,18,12,9,47,8,18,5,25,0,169,"2012","Hombres"
"Sinaloa ",31,417,458,533,489,454,1194,282,393,173,409,1,4834,"2012","Hombres"
"Sonora ",31,323,335,301,222,198,561,130,175,70,92,4,2442,"2012","Hombres"
"Tabasco ",1,2,2,1,2,7,10,0,1,0,0,0,26,"2012","Hombres"
"Tamaulipas ",4,19,14,17,14,18,62,8,17,7,15,0,195,"2012","Hombres"
"Tlaxcala ",0,1,0,2,2,5,6,2,2,0,1,1,22,"2012","Hombres"
"Veracruz ",1,13,3,13,8,12,35,2,10,4,9,0,110,"2012","Hombres"
"Yucatan",0,1,6,0,3,3,6,0,3,1,0,0,23,"2012","Hombres"
"Zacatecas ",6,134,172,202,175,188,419,88,107,55,145,1,1692,"2012","Hombres"
"Total",942,13054,16042,18658,18109,15568,38876,7243,10673,4230,9579,134,153108,"2012","Hombres"
"Aguascalientes ",5,81,113,107,132,100,240,50,50,31,73,0,982,"2013","Hombres"
"Baja California ",0,6,5,7,10,8,20,2,4,0,1,0,63,"2013","Hombres"
"Baja California Sur",0,3,2,5,0,2,8,1,3,0,0,0,24,"2013","Hombres"
"Campeche ",0,4,5,0,0,2,13,0,3,0,2,0,29,"2013","Hombres"
"Coahuila ",4,10,3,13,11,14,30,6,7,1,1,0,100,"2013","Hombres"
"Colima ",37,346,380,554,799,717,2137,390,568,232,411,2,6573,"2013","Hombres"
"Chiapas ",2,9,17,9,4,13,45,6,16,7,8,0,136,"2013","Hombres"
"Chihuahua ",2,23,30,22,15,12,43,7,11,5,11,0,181,"2013","Hombres"
"Distrito Federal ",1,17,31,25,35,24,78,12,15,9,14,0,261,"2013","Hombres"
"Durango ",31,300,394,500,626,548,1297,236,320,138,268,0,4658,"2013","Hombres"
"Guanajuato ",101,1493,1858,2099,1696,1395,3753,612,865,332,829,12,15045,"2013","Hombres"
"Guerrero ",185,2692,3272,4017,4193,3141,7369,1426,2134,897,2124,29,31479,"2013","Hombres"
"Hidalgo ",1,9,14,14,9,7,24,3,7,3,4,0,95,"2013","Hombres"
"Jalisco ",209,2327,2680,3075,2986,2810,7616,1246,2019,752,1782,32,27534,"2013","Hombres"
"Mexico",38,582,796,742,692,517,1227,226,323,128,306,3,5580,"2013","Hombres"
"Michoacan",115,1707,1858,2049,1983,1820,4235,891,1137,462,977,55,17289,"2013","Hombres"
"Morelos ",58,1241,1649,1958,2007,1694,4423,898,1470,564,1209,35,17206,"2013","Hombres"
"Nayarit ",102,617,759,848,913,951,2347,504,684,409,654,16,8804,"2013","Hombres"
"Nuevo Leon",1,3,7,5,4,5,28,1,9,1,4,0,68,"2013","Hombres"
"Oaxaca ",10,222,262,296,271,222,533,117,186,93,257,3,2472,"2013","Hombres"
"Puebla ",38,476,625,705,760,681,1534,366,540,227,538,5,6495,"2013","Hombres"
"Queretaro",15,149,168,259,286,342,857,120,212,68,140,0,2616,"2013","Hombres"
"Quintana Roo ",0,7,4,2,5,5,20,2,1,0,3,0,49,"2013","Hombres"
"San Luis Potosi",2,10,11,14,15,9,45,4,13,2,16,0,141,"2013","Hombres"
"Sinaloa ",20,339,437,467,475,378,1180,275,364,166,344,0,4445,"2013","Hombres"
"Sonora ",36,347,302,297,213,197,529,127,146,60,103,3,2360,"2013","Hombres"
"Tabasco ",0,2,2,0,1,2,6,2,2,0,1,0,18,"2013","Hombres"
"Tamaulipas ",5,24,14,22,14,18,53,11,15,8,17,0,201,"2013","Hombres"
"Tlaxcala ",0,0,0,4,3,2,7,2,2,1,2,0,23,"2013","Hombres"
"Veracruz ",2,6,16,4,18,11,26,6,9,3,6,0,107,"2013","Hombres"
"Yucatan",0,0,2,0,0,4,3,1,3,0,2,0,15,"2013","Hombres"
"Zacatecas ",11,158,187,232,246,206,500,131,137,74,184,2,2068,"2013","Hombres"
"Total",1031,13210,15903,18351,18422,15857,40226,7681,11275,4673,10291,197,157117,"2013","Hombres"
"Aguascalientes ",3,43,70,83,83,73,180,41,47,11,41,0,675,"2003","Mujeres"
"Baja California ",1,1,5,6,2,5,16,2,3,0,1,0,42,"2003","Mujeres"
"Baja California Sur",1,7,2,1,5,7,9,2,5,0,0,0,39,"2003","Mujeres"
"Campeche ",0,3,6,3,5,1,9,3,4,0,0,0,34,"2003","Mujeres"
"Coahuila ",1,1,1,4,11,7,22,1,1,0,0,0,49,"2003","Mujeres"
"Colima ",18,266,376,495,613,497,1437,228,351,128,224,11,4644,"2003","Mujeres"
"Chiapas ",1,14,5,13,10,7,38,6,13,3,0,0,110,"2003","Mujeres"
"Chihuahua ",5,25,28,26,30,24,75,16,14,4,8,0,255,"2003","Mujeres"
"Distrito Federal ",1,12,15,13,12,16,49,6,9,4,2,0,139,"2003","Mujeres"
"Durango ",23,182,261,305,328,300,753,147,184,89,133,3,2708,"2003","Mujeres"
"Guanajuato ",80,946,1310,1516,1596,1504,3669,539,694,233,558,128,12773,"2003","Mujeres"
"Guerrero ",140,1273,1506,1539,1186,1140,2785,609,739,370,584,9,11880,"2003","Mujeres"
"Hidalgo ",1,7,10,13,17,20,54,10,15,4,5,0,156,"2003","Mujeres"
"Jalisco ",174,1868,2322,2706,2739,2437,6739,1087,1528,595,1169,13,23377,"2003","Mujeres"
"Mexico",66,364,392,392,302,221,617,107,163,78,110,1,2813,"2003","Mujeres"
"Michoacan",162,1349,1642,1829,1665,1427,3534,681,877,336,661,15,14178,"2003","Mujeres"
"Morelos ",134,1359,1495,1749,1582,1679,3965,814,979,387,753,26,14922,"2003","Mujeres"
"Nayarit ",60,579,722,785,723,679,1853,296,428,181,324,5,6635,"2003","Mujeres"
"Nuevo Leon",3,9,31,36,39,27,74,10,9,2,3,0,243,"2003","Mujeres"
"Oaxaca ",13,155,216,287,253,209,637,133,177,94,200,0,2374,"2003","Mujeres"
"Puebla ",34,549,861,913,933,769,1942,367,609,254,655,1,7887,"2003","Mujeres"
"Queretaro",35,170,171,222,227,282,772,97,120,52,109,2,2259,"2003","Mujeres"
"Quintana Roo ",0,4,1,3,6,5,27,2,2,0,3,1,54,"2003","Mujeres"
"San Luis Potosi",1,6,6,16,11,9,54,10,13,2,10,0,138,"2003","Mujeres"
"Sinaloa ",41,329,388,398,415,411,1265,226,318,141,221,8,4161,"2003","Mujeres"
"Sonora ",569,942,520,442,383,474,1749,294,585,209,509,0,6676,"2003","Mujeres"
"Tabasco ",1,2,1,7,3,3,8,2,1,0,0,0,28,"2003","Mujeres"
"Tamaulipas ",0,9,12,16,25,23,51,12,5,7,9,125,294,"2003","Mujeres"
"Tlaxcala ",0,1,2,2,1,3,5,0,0,0,0,0,14,"2003","Mujeres"
"Veracruz ",3,10,12,12,17,17,48,9,6,3,8,0,145,"2003","Mujeres"
"Yucatan",3,9,2,3,4,2,12,2,0,2,2,0,41,"2003","Mujeres"
"Zacatecas ",8,110,157,162,218,127,331,63,87,51,102,1,1417,"2003","Mujeres"
"Total",1582,10604,12548,13997,13444,12405,32779,5822,7986,3240,6404,349,121160,"2003","Mujeres"
"Aguascalientes ",2,54,62,93,96,88,177,25,37,19,50,0,703,"2004","Mujeres"
"Baja California ",7,3,3,3,5,3,13,4,6,1,2,0,50,"2004","Mujeres"
"Baja California Sur",0,0,2,3,7,5,14,4,8,2,3,0,48,"2004","Mujeres"
"Campeche ",0,0,0,5,4,2,8,0,0,0,1,0,20,"2004","Mujeres"
"Coahuila ",0,6,4,3,7,7,21,2,3,1,0,0,54,"2004","Mujeres"
"Colima ",27,304,376,527,585,581,1590,231,292,130,264,12,4919,"2004","Mujeres"
"Chiapas ",2,8,4,8,7,13,31,9,8,3,6,0,99,"2004","Mujeres"
"Chihuahua ",3,16,20,18,20,20,74,7,19,13,14,0,224,"2004","Mujeres"
"Distrito Federal ",0,15,10,28,18,28,65,11,7,2,6,0,190,"2004","Mujeres"
"Durango ",15,192,249,279,324,294,732,123,171,74,118,0,2571,"2004","Mujeres"
"Guanajuato ",92,865,1152,1405,1576,1476,3731,560,749,287,501,10,12404,"2004","Mujeres"
"Guerrero ",134,1366,1731,1733,1579,1354,3535,694,888,431,749,11,14205,"2004","Mujeres"
"Hidalgo ",0,4,14,17,12,12,54,9,12,6,4,1,145,"2004","Mujeres"
"Jalisco ",179,1812,2187,2752,2711,2404,6794,1019,1563,660,1238,121,23440,"2004","Mujeres"
"Mexico",26,320,369,341,289,225,625,97,112,69,120,4,2597,"2004","Mujeres"
"Michoacan",135,1090,1423,1478,1455,1217,2917,512,674,290,568,131,11890,"2004","Mujeres"
"Morelos ",137,1126,1295,1453,1303,1331,3051,611,774,341,623,9,12054,"2004","Mujeres"
"Nayarit ",54,541,715,719,705,664,1697,345,407,184,294,112,6437,"2004","Mujeres"
"Nuevo Leon",0,7,4,12,9,16,44,9,18,3,6,54,182,"2004","Mujeres"
"Oaxaca ",14,157,240,276,234,227,561,114,178,83,212,1,2297,"2004","Mujeres"
"Puebla ",43,555,741,950,834,774,1760,378,557,263,625,332,7812,"2004","Mujeres"
"Queretaro",42,147,113,207,159,245,750,79,129,43,82,0,1996,"2004","Mujeres"
"Quintana Roo ",0,2,1,7,2,3,23,2,2,0,1,0,43,"2004","Mujeres"
"San Luis Potosi",0,7,6,14,16,18,66,13,30,5,12,1,188,"2004","Mujeres"
"Sinaloa ",35,370,349,413,477,444,1301,197,323,119,278,2,4308,"2004","Mujeres"
"Sonora ",36,336,322,317,310,341,926,200,229,109,155,1,3282,"2004","Mujeres"
"Tabasco ",0,2,0,2,2,9,2,0,0,0,0,0,17,"2004","Mujeres"
"Tamaulipas ",1,7,17,23,16,17,60,8,14,8,10,94,275,"2004","Mujeres"
"Tlaxcala ",0,2,0,16,1,2,5,0,0,1,1,0,28,"2004","Mujeres"
"Veracruz ",7,5,11,7,13,13,41,12,8,8,9,1,135,"2004","Mujeres"
"Yucatan",0,1,0,2,8,4,7,0,2,0,1,0,25,"2004","Mujeres"
"Zacatecas ",8,88,128,142,154,116,300,52,95,55,112,1,1251,"2004","Mujeres"
"Total",999,9408,11548,13253,12938,11953,30975,5327,7315,3210,6065,898,113889,"2004","Mujeres"
"Aguascalientes ",3,64,106,119,122,87,252,31,44,20,60,0,908,"2005","Mujeres"
"Baja California ",0,9,9,5,8,8,26,4,3,4,2,0,78,"2005","Mujeres"
"Baja California Sur",1,5,5,5,6,7,23,7,1,0,3,0,63,"2005","Mujeres"
"Campeche ",1,2,2,1,1,3,8,2,1,2,1,0,24,"2005","Mujeres"
"Coahuila ",2,4,4,9,8,12,22,2,1,0,0,0,64,"2005","Mujeres"
"Colima ",20,238,335,491,569,473,1468,247,308,107,242,10,4508,"2005","Mujeres"
"Chiapas ",2,14,6,14,18,21,55,13,7,5,3,0,158,"2005","Mujeres"
"Chihuahua ",2,23,25,23,15,14,40,11,15,5,9,0,182,"2005","Mujeres"
"Distrito Federal ",1,18,20,32,22,31,65,6,18,4,7,0,224,"2005","Mujeres"
"Durango ",15,200,247,321,379,306,905,152,209,74,178,0,2986,"2005","Mujeres"
"Guanajuato ",85,973,1383,1632,1690,1632,4388,636,916,319,631,8,14293,"2005","Mujeres"
"Guerrero ",164,1568,1991,2035,1872,1536,4090,807,1182,448,938,17,16648,"2005","Mujeres"
"Hidalgo ",3,8,5,21,24,14,42,7,13,6,8,0,151,"2005","Mujeres"
"Jalisco ",157,1880,2381,2955,2920,2627,7509,1155,1673,627,1338,20,25242,"2005","Mujeres"
"Mexico",23,379,391,424,335,245,674,117,118,85,136,0,2927,"2005","Mujeres"
"Michoacan",97,1225,1543,1699,1673,1404,3461,634,861,317,674,5,13593,"2005","Mujeres"
"Morelos ",136,1381,1703,1739,1777,1712,4205,778,1060,473,814,17,15795,"2005","Mujeres"
"Nayarit ",53,489,633,711,674,606,1613,334,385,169,277,125,6069,"2005","Mujeres"
"Nuevo Leon",2,4,2,2,4,7,25,3,6,0,2,0,57,"2005","Mujeres"
"Oaxaca ",10,170,262,340,300,227,637,119,196,119,276,6,2662,"2005","Mujeres"
"Puebla ",56,576,867,1112,1040,861,2015,473,651,302,759,3,8715,"2005","Mujeres"
"Queretaro",19,132,135,187,196,242,728,85,147,35,85,0,1991,"2005","Mujeres"
"Quintana Roo ",0,4,7,4,10,13,24,3,7,2,0,0,74,"2005","Mujeres"
"San Luis Potosi",2,8,14,16,16,20,69,12,20,3,12,0,192,"2005","Mujeres"
"Sinaloa ",23,259,332,400,381,341,1181,195,341,123,203,1,3780,"2005","Mujeres"
"Sonora ",40,291,305,277,333,271,845,163,194,103,171,0,2993,"2005","Mujeres"
"Tabasco ",0,0,0,1,0,2,9,0,3,0,0,0,15,"2005","Mujeres"
"Tamaulipas ",3,4,21,26,13,34,53,8,12,1,6,1,182,"2005","Mujeres"
"Tlaxcala ",1,0,2,2,2,3,5,1,0,0,1,0,17,"2005","Mujeres"
"Veracruz ",1,7,8,7,9,19,27,5,12,5,3,0,103,"2005","Mujeres"
"Yucatan",0,3,0,3,4,5,8,2,3,1,0,0,29,"2005","Mujeres"
"Zacatecas ",15,102,148,189,176,188,377,82,115,50,107,0,1549,"2005","Mujeres"
"Total",937,10040,12892,14802,14597,12971,34849,6094,8522,3409,6946,213,126272,"2005","Mujeres"
"Aguascalientes ",1,57,97,132,143,87,280,55,74,22,47,0,995,"2006","Mujeres"
"Baja California ",2,4,15,3,7,9,25,1,3,1,3,0,73,"2006","Mujeres"
"Baja California Sur",1,7,5,6,11,17,23,4,5,4,1,0,84,"2006","Mujeres"
"Campeche ",0,1,0,2,4,4,11,1,3,1,1,0,28,"2006","Mujeres"
"Coahuila ",0,4,6,8,8,13,33,2,7,2,1,0,84,"2006","Mujeres"
"Colima ",13,259,402,486,592,543,1575,229,338,119,279,13,4848,"2006","Mujeres"
"Chiapas ",2,6,1,12,17,15,31,13,5,2,10,1,115,"2006","Mujeres"
"Chihuahua ",2,22,11,20,14,10,62,8,17,5,13,0,184,"2006","Mujeres"
"Distrito Federal ",1,15,20,30,33,19,89,11,18,2,14,0,252,"2006","Mujeres"
"Durango ",20,211,276,346,416,369,888,154,222,75,141,10,3128,"2006","Mujeres"
"Guanajuato ",94,1089,1704,1924,2001,1819,5214,803,1120,439,888,4,17099,"2006","Mujeres"
"Guerrero ",172,1912,2371,2492,2210,1997,5343,969,1488,552,1235,114,20855,"2006","Mujeres"
"Hidalgo ",0,2,12,11,13,11,58,7,7,5,10,0,136,"2006","Mujeres"
"Jalisco ",178,2148,2882,3257,3368,3052,8658,1357,2031,818,1672,47,29468,"2006","Mujeres"
"Mexico",30,353,428,459,399,325,790,139,176,84,207,2,3392,"2006","Mujeres"
"Michoacan",118,1382,1724,2009,1938,1659,4247,780,1025,362,770,4,16018,"2006","Mujeres"
"Morelos ",96,1260,1655,1844,1746,1631,4095,840,1180,461,849,66,15723,"2006","Mujeres"
"Nayarit ",56,491,708,809,797,712,1932,404,477,181,348,0,6915,"2006","Mujeres"
"Nuevo Leon",0,6,10,5,8,9,47,6,6,2,1,0,100,"2006","Mujeres"
"Oaxaca ",13,182,247,316,302,284,697,165,221,106,291,4,2828,"2006","Mujeres"
"Puebla ",42,601,908,1121,1070,835,2141,501,727,344,812,1,9103,"2006","Mujeres"
"Queretaro",15,125,174,224,241,277,882,106,150,52,90,0,2336,"2006","Mujeres"
"Quintana Roo ",1,2,2,2,3,9,35,9,4,1,2,1,71,"2006","Mujeres"
"San Luis Potosi",6,20,18,14,14,20,77,18,19,8,18,1,233,"2006","Mujeres"
"Sinaloa ",26,280,354,431,459,386,1251,218,358,137,253,128,4281,"2006","Mujeres"
"Sonora ",23,241,290,270,343,276,735,127,211,68,163,1,2748,"2006","Mujeres"
"Tabasco ",1,1,0,0,1,2,8,3,2,1,0,0,19,"2006","Mujeres"
"Tamaulipas ",0,8,22,17,16,28,58,9,12,3,11,0,184,"2006","Mujeres"
"Tlaxcala ",0,0,0,3,4,3,9,1,2,0,1,0,23,"2006","Mujeres"
"Veracruz ",3,12,15,14,11,11,49,12,19,4,7,0,157,"2006","Mujeres"
"Yucatan",3,4,0,5,3,5,10,2,2,1,1,0,36,"2006","Mujeres"
"Zacatecas ",10,155,183,213,263,214,464,94,130,70,139,1,1936,"2006","Mujeres"
"Total",929,10860,14540,16485,16455,14651,39817,7048,10059,3932,8278,398,143452,"2006","Mujeres"
"Aguascalientes ",6,68,95,122,148,100,257,45,52,26,74,0,993,"2007","Mujeres"
"Baja California ",1,4,3,2,9,14,25,3,6,2,6,0,75,"2007","Mujeres"
"Baja California Sur",0,8,7,6,7,11,27,4,4,1,2,0,77,"2007","Mujeres"
"Campeche ",0,3,1,3,3,4,11,2,1,1,1,0,30,"2007","Mujeres"
"Coahuila ",2,8,8,11,15,10,41,3,2,1,6,0,107,"2007","Mujeres"
"Colima ",28,222,312,419,589,488,1484,264,383,122,219,9,4539,"2007","Mujeres"
"Chiapas ",0,5,8,16,21,15,59,12,14,3,10,0,163,"2007","Mujeres"
"Chihuahua ",5,21,22,28,15,19,60,7,12,1,9,0,199,"2007","Mujeres"
"Distrito Federal ",0,10,23,31,32,33,84,16,17,5,9,0,260,"2007","Mujeres"
"Durango ",30,212,329,365,434,349,994,160,218,107,186,1,3385,"2007","Mujeres"
"Guanajuato ",76,1086,1585,1923,2097,1999,5328,851,1167,408,915,13,17448,"2007","Mujeres"
"Guerrero ",143,1708,2242,2285,2269,1944,4977,879,1414,543,1175,78,19657,"2007","Mujeres"
"Hidalgo ",1,3,9,3,9,13,28,10,6,4,9,0,95,"2007","Mujeres"
"Jalisco ",159,2053,2871,3123,3128,3015,8185,1236,1890,721,1620,37,28038,"2007","Mujeres"
"Mexico",50,347,393,379,373,303,829,155,169,81,189,1,3269,"2007","Mujeres"
"Michoacan",104,1190,1476,1643,1776,1395,3789,638,884,338,678,9,13920,"2007","Mujeres"
"Morelos ",89,1205,1592,1798,1801,1552,4254,898,1292,519,938,12,15950,"2007","Mujeres"
"Nayarit ",62,492,691,789,859,718,2043,372,535,200,429,2,7192,"2007","Mujeres"
"Nuevo Leon",0,9,14,3,15,20,49,3,5,3,3,0,124,"2007","Mujeres"
"Oaxaca ",14,196,266,315,369,300,867,150,267,133,333,4,3214,"2007","Mujeres"
"Puebla ",24,524,773,930,1000,810,1806,455,631,244,703,33,7933,"2007","Mujeres"
"Queretaro",16,133,189,169,173,209,644,119,131,49,97,0,1929,"2007","Mujeres"
"Quintana Roo ",0,1,1,4,7,8,21,3,4,1,2,0,52,"2007","Mujeres"
"San Luis Potosi",1,12,26,17,28,25,83,14,18,5,13,0,242,"2007","Mujeres"
"Sinaloa ",28,303,362,405,481,389,1241,253,390,144,286,2,4284,"2007","Mujeres"
"Sonora ",35,281,270,283,331,251,758,128,214,71,159,1,2782,"2007","Mujeres"
"Tabasco ",0,1,1,1,3,6,6,1,1,0,0,1,21,"2007","Mujeres"
"Tamaulipas ",4,9,18,9,21,25,65,8,11,7,6,0,183,"2007","Mujeres"
"Tlaxcala ",2,1,1,2,4,4,9,1,1,0,1,1,27,"2007","Mujeres"
"Veracruz ",2,10,14,12,17,7,68,12,21,3,10,0,176,"2007","Mujeres"
"Yucatan",0,1,3,1,1,5,20,1,8,2,3,0,45,"2007","Mujeres"
"Zacatecas ",8,138,156,210,271,217,498,100,141,76,141,0,1956,"2007","Mujeres"
"Total",890,10264,13761,15307,16306,14258,38610,6803,9909,3821,8232,204,138365,"2007","Mujeres"
"Aguascalientes ",6,53,114,123,167,98,225,53,65,20,62,0,986,"2008","Mujeres"
"Baja California ",2,6,11,5,6,12,35,1,2,1,5,0,86,"2008","Mujeres"
"Baja California Sur",0,7,7,4,11,10,16,4,2,1,4,0,66,"2008","Mujeres"
"Campeche ",3,5,3,7,2,11,19,2,5,1,3,0,61,"2008","Mujeres"
"Coahuila ",1,12,7,7,12,17,38,7,7,0,0,0,108,"2008","Mujeres"
"Colima ",25,223,353,435,618,649,1513,273,352,114,210,8,4773,"2008","Mujeres"
"Chiapas ",2,12,15,13,25,22,69,14,32,6,12,0,222,"2008","Mujeres"
"Chihuahua ",6,21,20,18,22,23,72,11,15,3,3,10,224,"2008","Mujeres"
"Distrito Federal ",2,18,25,28,27,26,94,14,16,6,13,0,269,"2008","Mujeres"
