"Estado","Menor.a.1","Entre.1.y.4","Entre.5.y.9","Entre.10.y.14","Entre.15.y.19","Entre.20.y.24","Entre.25.y.44","Entre.45.y.49","Entre.50.y.59","Entre.60.y.64","Mayor.a.65","Ign","Total","Ano","Tipo"
"Jalisco ",334,4324,6119,6747,6566,5589,15151,2433,3665,1500,3374,84,55886,"2007","General"
"Mexico",75,759,892,886,777,526,1414,277,336,148,344,1,6435,"2007","General"
"Michoacan",216,2595,3261,3712,3553,2612,6690,1202,1623,653,1448,16,27581,"2007","General"
"Morelos ",173,2713,3515,3865,3779,2932,7941,1757,2551,1107,1987,33,32353,"2007","General"
"Nayarit ",132,1095,1507,1764,1922,1582,4329,842,1163,526,1040,6,15908,"2007","General"
"Nuevo Leon",0,16,29,11,24,24,73,5,11,5,6,0,204,"2007","General"
"Oaxaca ",30,451,558,662,625,476,1275,243,424,201,568,4,5517,"2007","General"
"Puebla ",59,1131,1578,1966,1880,1401,3124,784,1130,473,1332,35,14893,"2007","General"
"Queretaro",40,291,368,343,387,360,1220,170,241,91,157,0,3668,"2007","General"
"Quintana Roo ",2,8,9,7,12,11,38,4,7,2,3,0,103,"2007","General"
"San Luis Potosi",4,22,46,31,43,33,110,19,32,10,23,0,373,"2007","General"
"Sinaloa ",54,614,749,870,903,694,2109,422,654,247,577,10,7903,"2007","General"
"Sonora ",69,635,548,541,519,422,1174,215,315,101,268,2,4809,"2007","General"
"Tabasco ",0,4,3,2,6,9,9,1,3,1,2,1,41,"2007","General"
"Tamaulipas ",5,23,34,21,30,42,109,11,17,9,16,0,317,"2007","General"
"Tlaxcala ",2,2,4,3,10,6,19,2,2,0,2,1,53,"2007","General"
"Veracruz ",4,36,30,24,32,18,107,20,39,6,19,0,335,"2007","General"
"Yucatan",0,4,4,6,3,6,29,3,8,2,4,0,69,"2007","General"
"Zacatecas ",16,307,366,463,480,383,907,194,273,153,335,1,3878,"2007","General"
"Total",1870,22279,29579,33381,32644,26155,69786,12623,18547,7578,16680,318,271440,"2007","General"
"Aguascalientes ",10,131,223,272,311,198,429,95,125,48,144,0,1986,"2008","General"
"Baja California ",3,10,16,11,14,22,62,5,5,1,6,0,155,"2008","General"
"Baja California Sur",2,11,10,8,19,16,31,7,6,4,6,0,120,"2008","General"
"Campeche ",7,15,9,15,7,15,33,6,11,2,5,0,125,"2008","General"
"Coahuila ",1,19,21,14,21,23,61,10,12,1,2,0,185,"2008","General"
"Colima ",47,543,787,1020,1318,1308,3221,573,780,270,481,13,10361,"2008","General"
"Chiapas ",6,26,27,31,42,36,109,28,50,12,24,0,391,"2008","General"
"Chihuahua ",12,54,56,34,42,38,115,13,23,3,13,10,413,"2008","General"
"Distrito Federal ",2,36,47,60,56,43,159,23,28,8,18,1,481,"2008","General"
"Durango ",36,445,564,691,801,700,1789,349,405,152,322,0,6254,"2008","General"
"Guanajuato ",194,2273,3082,3508,3482,2967,7834,1186,1729,746,1624,7,28632,"2008","General"
"Guerrero ",293,3756,5032,5513,4919,3486,9226,1705,2555,1093,2547,16,40141,"2008","General"
"Hidalgo ",0,6,18,29,20,26,83,10,16,5,15,0,228,"2008","General"
"Jalisco ",339,4253,5671,6326,6525,5466,14829,2489,3672,1418,3121,68,54177,"2008","General"
"Mexico",65,907,1114,1114,1006,684,1789,334,471,190,442,3,8119,"2008","General"
"Michoacan",232,2781,3530,4016,3814,2993,7530,1387,1856,720,1705,137,30701,"2008","General"
"Morelos ",152,2541,3344,3488,3671,3135,7367,1845,2400,978,1783,16,30720,"2008","General"
